,평균기온,일사합,평균풍속,최저습도,강수량,연간지수,전력수요총합
0,6.4,5.97,3.5,41.0,0.0,0,15744.300000000001
1,7.0,10.53,2.2,35.0,0.0,0,16917.8
2,5.0,7.84,3.4,52.0,0.0,0,17103.2
3,3.9,2.19,2.6,60.0,0.6,0,17719.1
4,5.1,1.26,4.1,57.0,4.2,0,17964.199999999997
5,6.2,9.92,3.1,49.0,0.0,0,16946.7
6,8.5,2.7,2.1,50.0,3.6,0,16277.699999999999
7,8.7,1.07,4.5,50.0,4.1,0,17094.9
8,4.9,5.21,7.5,47.0,0.4,0,18151.7
9,2.4,5.45,8.9,43.0,3.4,0,18903.800000000003
10,0.0,5.74,7.0,47.0,8.3,0,19472.4
11,0.7,2.86,5.1,55.0,1.8,0,19282.099999999995
12,4.5,5.56,2.7,50.0,0.0,0,17943.400000000005
13,7.8,10.01,1.8,46.0,0.0,0,16726.6
14,10.8,11.04,2.3,59.0,0.0,0,16711.7
15,12.1,1.66,1.9,71.0,16.5,0,16601.8
16,9.5,5.83,2.9,68.0,3.8,0,16598.800000000003
17,8.9,5.0,2.8,56.0,0.0,0,16863.399999999998
18,6.8,13.1,2.0,38.0,0.0,0,17110.2
19,6.1,11.86,1.9,36.0,0.0,0,16697.8
20,8.5,12.94,2.3,38.0,0.0,0,15911.3
21,9.0,5.45,4.0,45.0,0.7,0,16863.8
22,2.1,2.6,5.5,49.0,0.3,0,18692.5
23,-1.2,5.66,5.2,57.0,4.5,0,19371.9
24,-1.9,2.18,5.2,61.0,0.0,0,20204.100000000002
25,-1.3,3.81,4.9,62.0,0.1,0,20207.000000000004
26,0.9,11.37,2.3,46.0,0.0,0,18483.199999999997
27,2.6,4.86,3.9,58.0,2.0,0,17687.0
28,1.8,3.54,5.9,49.0,1.7,0,19344.399999999998
29,2.2,5.5,3.4,57.0,1.5,0,19255.5
30,3.8,1.7,2.0,55.0,0.5,0,19320.599999999995
31,4.5,9.8,3.9,40.0,0.0,0,18575.7
32,3.8,11.96,3.2,38.0,0.0,0,18736.899999999998
33,1.4,3.37,6.3,46.0,1.1,0,18874.999999999996
34,-0.4,4.38,6.8,48.0,5.9,0,18795.399999999998
35,0.2,5.76,6.3,50.0,3.5,0,19722.799999999996
36,-0.6,4.23,5.9,45.0,5.7,0,20060.500000000004
37,0.6,2.92,3.1,60.0,1.7,0,19443.200000000004
38,2.5,10.43,2.0,66.0,3.1,0,19242.200000000004
39,6.0,12.89,2.1,48.0,0.0,0,18021.600000000002
40,5.8,5.12,3.7,47.0,2.2,0,17483.0
41,2.5,8.08,6.5,35.0,0.8,0,17652.799999999996
42,2.7,6.47,7.2,41.0,0.0,0,19079.0
43,4.9,16.45,4.2,28.0,0.0,0,18104.3
44,9.8,14.37,3.4,36.0,0.0,0,16798.2
45,7.1,8.13,2.1,45.0,0.0,0,15709.699999999999
46,6.1,7.47,2.6,36.0,0.0,0,15006.300000000001
47,4.4,17.37,3.4,33.0,0.0,0,15861.800000000001
48,6.7,9.87,1.9,37.0,0.9,0,16140.5
49,8.3,5.03,2.2,41.0,2.1,0,17040.9
