,일시,평균기온,최고기온,최저기온,일조합,일조율,일사합,평균풍속,최대풍속,최대풍속풍향,강수량,평균습도,최저습도
0,2015-01-01,3.3,5.4,1.7,0.2,2.0,3.35,8.3,12.9,320.0,4.2,69.9,46.0
1,2015-01-02,6.1,8.5,3.9,1.5,15.0,4.98,6.3,9.7,290.0,0.0,53.1,42.0
2,2015-01-03,6.8,9.6,3.5,4.5,45.0,8.18,2.1,3.7,290.0,0.0,61.3,53.0
3,2015-01-04,11.5,15.0,7.7,8.4,84.0,10.06,2.8,4.3,250.0,0.0,64.8,54.0
4,2015-01-05,12.9,17.5,6.8,3.6,36.0,7.48,2.2,7.2,200.0,0.7,59.9,35.0
5,2015-01-06,7.8,17.2,3.9,5.0,50.0,9.03,5.2,7.6,320.0,0.2,66.1,48.0
6,2015-01-07,4.7,5.8,3.4,0.4,4.0,3.07,5.2,8.1,320.0,0.0,64.4,55.0
7,2015-01-08,6.3,7.6,5.1,0.3,3.0,3.92,5.4,7.6,320.0,0.0,63.4,57.0
8,2015-01-09,8.0,10.0,6.5,2.5,24.8,6.55,5.0,7.5,320.0,0.0,55.8,39.0
9,2015-01-10,8.6,11.0,6.5,6.4,63.4,9.18,4.6,8.1,290.0,0.0,53.5,37.0
10,2015-01-11,8.5,12.1,5.4,5.7,56.4,8.26,4.9,7.5,290.0,0.0,60.0,47.0
11,2015-01-12,4.9,7.9,3.8,7.8,77.2,11.78,3.0,5.3,360.0,0.0,55.0,35.0
12,2015-01-13,9.7,13.7,4.2,1.4,13.9,7.27,2.2,4.7,90.0,0.0,66.1,49.0
13,2015-01-14,9.3,10.7,8.7,0.0,0.0,0.54,3.2,7.6,20.0,37.4,85.4,70.0
14,2015-01-15,8.4,10.9,5.9,6.1,59.8,8.72,3.5,5.7,320.0,0.0,65.3,53.0
15,2015-01-16,7.7,9.4,5.3,0.0,0.0,1.16,4.2,9.6,320.0,0.1,71.9,62.0
16,2015-01-17,5.0,8.0,2.7,4.5,44.1,9.85,5.1,10.1,320.0,0.0,61.0,51.0
17,2015-01-18,6.0,10.1,1.2,0.7,6.9,6.01,3.2,8.7,270.0,0.0,63.4,53.0
18,2015-01-19,8.5,11.0,5.9,4.8,46.6,9.05,6.1,12.2,320.0,0.0,51.5,35.0
19,2015-01-20,6.9,9.7,3.7,6.7,65.0,11.2,2.1,4.4,340.0,0.0,68.3,61.0
20,2015-01-21,9.2,10.6,7.8,0.0,0.0,1.84,1.5,3.6,200.0,5.8,78.9,58.0
21,2015-01-22,7.6,9.0,6.5,1.4,13.6,4.9,4.8,7.6,320.0,4.7,69.6,58.0
22,2015-01-23,6.9,9.9,5.4,5.6,54.4,11.44,2.8,4.6,320.0,0.0,63.3,52.0
23,2015-01-24,8.0,11.0,5.0,6.0,57.7,10.2,2.2,4.0,50.0,0.0,69.1,62.0
24,2015-01-25,11.6,15.8,6.9,1.3,12.5,6.53,1.7,3.3,160.0,9.2,69.6,42.0
25,2015-01-26,10.3,13.6,7.4,0.0,0.0,0.85,3.9,6.7,320.0,0.0,85.4,76.0
26,2015-01-27,5.6,7.6,3.3,2.6,25.0,8.22,4.0,6.9,320.0,0.0,68.0,55.0
27,2015-01-28,4.5,6.4,3.2,6.0,57.1,10.9,3.0,6.3,360.0,0.0,61.0,46.0
28,2015-01-29,6.8,8.1,4.8,0.0,0.0,1.39,3.2,7.0,360.0,19.1,87.0,55.0
29,2015-01-30,5.0,6.7,3.6,0.0,0.0,2.46,5.8,9.6,360.0,1.0,66.6,53.0
30,2015-01-31,3.4,5.1,2.7,0.8,7.5,4.69,4.4,7.8,320.0,0.0,62.1,55.0
31,2015-02-01,4.1,7.7,0.6,9.1,85.8,14.62,2.0,3.6,360.0,0.0,59.9,42.0
32,2015-02-02,6.0,9.3,4.3,7.1,67.0,12.87,2.3,3.8,360.0,0.0,60.5,42.0
33,2015-02-03,6.2,9.6,2.8,4.1,38.7,8.71,2.8,5.3,320.0,0.0,65.4,55.0
34,2015-02-04,6.8,7.4,6.0,0.0,0.0,2.01,5.0,7.5,320.0,0.0,56.8,45.0
35,2015-02-05,5.5,6.9,3.1,0.4,3.7,3.34,5.9,9.4,320.0,0.3,61.3,45.0
36,2015-02-06,6.1,7.8,5.0,0.2,1.9,5.21,2.9,5.3,320.0,0.0,59.5,52.0
37,2015-02-07,8.0,9.7,5.8,0.5,4.7,4.94,3.1,6.0,290.0,0.1,63.3,48.0
38,2015-02-08,1.7,8.8,-0.7,0.4,3.7,4.87,7.4,11.2,320.0,0.1,69.1,51.0
39,2015-02-09,1.8,3.6,-0.3,2.3,21.3,8.45,5.0,7.6,360.0,0.4,58.1,45.0
40,2015-02-10,7.1,9.4,2.5,1.3,12.0,5.3,4.4,6.4,270.0,0.0,55.1,46.0
41,2015-02-11,8.9,12.3,5.8,9.3,85.3,14.35,3.8,6.6,270.0,0.0,51.8,37.0
42,2015-02-12,7.0,10.0,4.6,6.0,55.0,12.46,5.3,8.5,320.0,0.0,58.0,46.0
43,2015-02-13,4.7,8.1,3.3,4.7,43.1,11.9,3.9,6.6,320.0,0.0,57.4,48.0
44,2015-02-14,8.4,14.4,3.1,10.0,90.9,15.15,2.2,6.5,290.0,0.0,56.3,39.0
45,2015-02-15,12.5,14.9,9.0,0.0,0.0,1.97,2.6,9.3,110.0,12.8,79.5,53.0
46,2015-02-16,11.8,14.4,9.8,0.0,0.0,3.71,3.7,7.3,250.0,3.0,88.4,73.0
47,2015-02-17,8.3,10.0,7.3,4.6,41.4,11.72,5.4,7.6,320.0,0.0,62.5,52.0
48,2015-02-18,6.5,7.4,5.5,0.0,0.0,1.51,5.7,7.8,320.0,0.0,64.3,51.0
49,2015-02-19,5.7,8.9,4.0,5.7,51.4,13.32,3.3,7.9,360.0,0.0,58.3,52.0
50,2015-02-20,9.3,14.9,3.1,8.0,72.1,14.88,3.0,6.6,140.0,0.0,54.4,39.0
51,2015-02-21,11.9,17.3,9.0,0.7,6.3,2.55,2.8,6.4,360.0,5.5,86.5,61.0
