일시,평균기온(℃),최고기온(℃),최고기온시각,최저기온(℃),최저기온시각일교차
2015-01-01,3.3,5.4,1.7,5:08,3.7
2015-01-02,6.1,8.5,3.9,22:01,4.6
2015-01-03,6.8,9.6,3.5,3:28,6.1
2015-01-04,11.5,15,7.7,1:05,7.3
2015-01-05,12.9,17.5,6.8,2:22,10.7
2015-01-06,7.8,17.2,3.9,21:22,13.3
2015-01-07,4.7,5.8,3.4,5:09,2.4
2015-01-08,6.3,7.6,5.1,0:41,2.5
2015-01-09,8,10,6.5,0:49,3.5
2015-01-10,8.6,11,6.5,21:27,4.5
2015-01-11,8.5,12.1,5.4,23:51,6.7
2015-01-12,4.9,7.9,3.8,8:03,4.1
2015-01-13,9.7,13.7,4.2,1:33,9.5
2015-01-14,9.3,10.7,8.7,14:21,2
2015-01-15,8.4,10.9,5.9,6:19,5
2015-01-16,7.7,9.4,5.3,3:01,4.1
2015-01-17,5,8,2.7,23:53,5.3
2015-01-18,6,10.1,1.2,5:59,8.9
2015-01-19,8.5,11,5.9,23:44,5.1
2015-01-20,6.9,9.7,3.7,6:43,6
2015-01-21,9.2,10.6,7.8,23:56,2.8
2015-01-22,7.6,9,6.5,23:17,2.5
2015-01-23,6.9,9.9,5.4,23:57,4.5
2015-01-24,8,11,5,0:30,6
2015-01-25,11.6,15.8,6.9,2:13,8.9
2015-01-26,10.3,13.6,7.4,23:20,6.2
2015-01-27,5.6,7.6,3.3,23:44,4.3
2015-01-28,4.5,6.4,3.2,0:11,3.2
2015-01-29,6.8,8.1,4.8,0:01,3.3
2015-01-30,5,6.7,3.6,23:38,3.1
2015-01-31,3.4,5.1,2.7,23:04,2.4
2015-02-01,4.1,7.7,0.6,6:57,7.1
2015-02-02,6,9.3,4.3,22:51,5
2015-02-03,6.2,9.6,2.8,5:32,6.8
2015-02-04,6.8,7.4,6,3:22,1.4
2015-02-05,5.5,6.9,3.1,11:11,3.8
2015-02-06,6.1,7.8,5,5:48,2.8
2015-02-07,8,9.7,5.8,5:08,3.9
2015-02-08,1.7,8.8,-0.7,13:57,9.5
2015-02-09,1.8,3.6,-0.3,0:25,3.9
2015-02-10,7.1,9.4,2.5,1:28,6.9
2015-02-11,8.9,12.3,5.8,2:57,6.5
2015-02-12,7,10,4.6,23:08,5.4
2015-02-13,4.7,8.1,3.3,7:43,4.8
2015-02-14,8.4,14.4,3.1,6:59,11.3
2015-02-15,12.5,14.9,9,1:16,5.9
2015-02-16,11.8,14.4,9.8,23:34,4.6
2015-02-17,8.3,10,7.3,22:03,2.7
2015-02-18,6.5,7.4,5.5,23:36,1.9
2015-02-19,5.7,8.9,4,23:29,4.9
2015-02-20,9.3,14.9,3.1,5:33,11.8
2015-02-21,11.9,17.3,9,5:22,8.3
2015-02-22,8.7,10.8,6.5,24:00:00,4.3
2015-02-23,6.9,9.8,5.4,4:44,4.4
2015-02-24,7.9,10.9,5.9,0:01,5
2015-02-25,10.3,12.7,6.8,2:12,5.9
2015-02-26,8.8,11.6,4.9,23:37,6.7
2015-02-27,4.2,5.4,3.7,20:50,1.7
2015-02-28,7.9,9.8,4.1,0:01,5.7
2015-03-01,7.3,9.2,5.9,23:53,3.3
2015-03-02,7,10.1,3.4,7:22,6.7
2015-03-03,8.4,10.1,6.8,23:09,3.3
2015-03-04,4,6.8,3.2,5:53,3.6
2015-03-05,5.4,7.1,2.8,4:50,4.3
2015-03-06,8,9.3,6.3,4:56,3
2015-03-07,9.3,12.1,6.3,23:41,5.8
2015-03-08,10.7,16.1,4,4:22,12.1
2015-03-09,7.6,11.6,2,23:54,9.6
2015-03-10,2.9,4.1,0.2,7:33,3.9
2015-03-11,7,9.7,3.3,0:14,6.4
2015-03-12,8.3,11.3,6.2,23:53,5.1
2015-03-13,11.5,17.7,4.7,6:50,13
2015-03-14,10.3,12.2,8.7,7:18,3.5
2015-03-15,10.8,14,7.8,6:51,6.2
2015-03-16,13.5,17.1,9.9,0:35,7.2
2015-03-17,15.7,19.6,11.1,4:54,8.5
2015-03-18,17.1,20.6,13.9,23:59,6.7
2015-03-19,12.8,14.8,11.5,7:52,3.3
2015-03-20,12.9,16.5,11.3,5:48,5.2
2015-03-21,13.8,17.5,10.9,6:55,6.6
2015-03-22,12.3,16.5,9,23:56,7.5
2015-03-23,9.1,11.7,6.7,5:37,5
2015-03-24,8.5,12,6,23:45,6
2015-03-25,8.6,12.9,4.3,5:11,8.6
2015-03-26,9.8,14.5,5.1,6:30,9.4
2015-03-27,10.9,13.9,7.5,3:22,6.4
2015-03-28,12.8,15.7,10.2,4:52,5.5
2015-03-29,13.5,16.7,10.3,5:10,6.4
2015-03-30,14,17.9,10.7,6:22,7.2
2015-03-31,18.1,22.2,14.9,4:46,7.3
2015-04-01,15.4,19,14,7:30,5
2015-04-02,20.2,27.7,14,0:01,13.7
2015-04-03,12.6,22.1,10,23:05,12.1
2015-04-04,14.4,17.4,10,0:45,7.4
2015-04-05,13.2,14.4,12.3,9:44,2.1
2015-04-06,12.1,13.3,10,23:19,3.3
2015-04-07,10.3,12.6,8.7,5:25,3.9
2015-04-08,11,14.4,8.8,2:12,5.6
2015-04-09,12.1,14.5,9.3,6:12,5.2
2015-04-10,12.8,15.2,10.6,6:07,4.6
2015-04-11,13.5,17.6,9.5,5:32,8.1
2015-04-12,13.5,18.4,11.7,5:56,6.7
2015-04-13,12.1,14.5,8.9,22:01,5.6
2015-04-14,10.1,14.2,7,14:47,7.2
2015-04-15,15.6,20.3,10.1,4:47,10.2
2015-04-16,17.3,24.9,13.1,22:14,11.8
2015-04-17,14.1,18,10.1,6:10,7.9
2015-04-18,17.9,24.1,13,0:24,11.1
2015-04-19,18.5,23.9,15.5,23:52,8.4
2015-04-20,12.9,15.5,12,17:17,3.5
2015-04-21,14.2,17.5,12.5,4:52,5
2015-04-22,15.5,21.2,11.1,5:26,10.1
2015-04-23,15.5,19.2,11.8,5:49,7.4
2015-04-24,17.3,22,13.4,5:19,8.6
2015-04-25,17.2,23.6,13.6,4:24,10
2015-04-26,18.8,23.1,14.1,4:01,9
2015-04-27,19.5,23.1,14.9,6:03,8.2
2015-04-28,20.7,25.3,17.9,2:04,7.4
2015-04-29,17.7,22.1,15.4,15:34,6.7
2015-04-30,16.4,18.2,15.3,7:52,2.9
2015-05-01,18,21.4,15.5,0:09,5.9
2015-05-02,18.3,23.2,14.5,5:13,8.7
2015-05-03,18.1,22,14.8,23:29,7.2
2015-05-04,16.5,21.7,13.3,6:41,8.4
2015-05-05,14.8,18.5,11,5:50,7.5
2015-05-06,15.3,17.8,13.2,5:38,4.6
2015-05-07,17.2,21.7,13.2,5:20,8.5
2015-05-08,17.7,20.8,14.5,5:03,6.3
2015-05-09,17.5,20.7,15,6:36,5.7
2015-05-10,18,23,14.7,5:48,8.3
2015-05-11,19.8,23.1,15.9,24:00:00,7.2
2015-05-12,18.5,21.6,14,6:11,7.6
2015-05-13,23,27.3,19.2,20:42,8.1
2015-05-14,23.8,29.4,19.4,0:25,10
2015-05-15,19.7,23,17.3,20:03,5.7
2015-05-16,19,22.1,16.6,5:07,5.5
2015-05-17,19.3,26.4,16.1,5:39,10.3
2015-05-18,16.2,19,14.9,7:14,4.1
2015-05-19,16.3,19.3,14.8,23:36,4.5
2015-05-20,17.4,22.1,14.7,0:34,7.4
