날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2018-01-01,702.7,667.8,634.6,618.6,622.1,636.2,662.8,666.4,655.5,609.1,603.4,590.3,576.8,578.0,571.0,575.7,609.6,691.7,747.3,754.9,751.5,740.2,740.1,738.0
2018-01-02,700.6,669.3,650.9,642.7,648.6,667.7,697.2,733.5,768.0,733.7,717.1,702.2,663.6,666.6,663.3,668.3,694.6,761.9,789.6,777.8,756.2,726.9,711.2,706.3
2018-01-03,666.4,630.8,611.2,606.5,611.6,634.5,658.3,693.5,765.1,766.1,738.6,719.8,686.4,692.4,699.7,703.3,750.2,811.8,823.2,814.6,785.4,756.5,741.8,735.5
2018-01-04,700.9,671.8,641.4,628.9,632.2,647.3,671.0,710.2,770.0,797.8,774.2,766.2,726.1,745.1,748.2,763.4,803.5,828.9,826.8,812.7,792.4,762.3,749.0,748.8
2018-01-05,707.9,675.9,651.3,637.1,640.1,653.2,678.5,714.7,795.7,823.6,781.2,772.1,745.0,763.5,763.1,765.2,801.0,839.4,831.3,819.0,794.7,774.1,772.0,764.6
2018-01-06,729.0,695.9,674.0,659.8,659.2,673.4,695.6,711.2,729.0,701.5,691.7,673.4,641.3,646.6,643.9,640.5,687.6,756.4,797.6,792.5,778.5,758.0,754.7,755.4
2018-01-07,720.0,687.9,660.7,650.9,648.3,651.2,660.2,663.4,678.1,676.1,651.6,649.5,654.6,628.3,634.4,655.0,694.2,721.3,738.2,729.5,722.8,703.0,700.6,697.9
2018-01-08,656.6,621.3,595.9,583.8,589.1,602.9,626.6,660.7,729.5,748.7,758.3,751.5,722.9,736.6,737.9,754.9,769.9,812.7,808.1,794.5,774.7,755.0,750.9,751.9
2018-01-09,703.0,673.3,656.3,645.3,654.2,673.4,707.3,751.7,809.9,803.5,780.8,766.6,737.7,753.4,745.8,746.3,783.6,852.5,872.7,851.9,821.6,790.9,789.6,780.4
2018-01-10,729.0,695.5,676.4,671.2,673.7,697.3,721.1,765.3,823.3,830.6,823.5,798.4,771.4,778.6,773.8,801.1,875.2,902.1,898.7,883.1,854.5,827.5,815.6,816.9
2018-01-11,777.6,747.1,722.4,711.0,713.8,728.2,756.4,794.6,843.0,875.3,884.0,848.7,804.5,801.5,839.2,833.0,862.7,883.7,882.9,866.3,845.9,819.6,815.1,815.9
2018-01-12,778.8,751.2,734.3,718.6,723.8,732.6,762.4,791.5,842.7,869.6,857.3,836.3,801.0,783.7,779.0,780.8,814.0,870.8,884.6,870.8,852.4,823.5,812.6,809.8
2018-01-13,771.8,743.2,722.2,705.5,702.8,715.1,734.5,755.6,770.0,770.7,723.0,706.4,685.2,683.2,680.0,678.0,709.1,787.5,835.6,832.1,822.3,804.9,801.8,802.9
