날짜, 1시 , 2시 , 3시 , 4시 , 5시 , 6시 , 7시 , 8시 , 9시 , 10시 , 11시 , 12시 , 13시 , 14시 , 15시 , 16시 , 17시 , 18시 , 19시 , 20시 , 21시 , 22시 , 23시 , 24시 
2023-09-01,621.8,666.7,693.2,713.5,715.1,699.2,686.1,627,577.6,559.9,511.8,497.5,541.5,484.6,445.4,436.6,416.5,387.8,387.9,395.5,415.5,440.3,470.8,528.2
2023-09-02,586.5,628.4,645.5,669.9,710.4,726.2,708.8,707.4,650.7,639.7,702.7,679.6,700.3,750.8,708.1,664.1,562.2,427.1,365.8,354.4,387.6,438,470.2,507.9
2023-09-03,553.8,602.9,639.1,661,673.5,675,654.5,639.8,666.4,665.4,692.7,729.6,733.7,721.4,683,594.9,490.7,396.2,325.7,323.8,350.4,395.9,448.4,499
2023-09-04,559,605.7,630.4,648.8,660.1,648,617.2,588,571.9,581.8,596.2,616.8,631.5,608.9,576.8,545.1,470.2,374.4,319.9,332.8,377,434.9,487.1,531.5
2023-09-05,592,637.1,672,691.1,699.4,684.1,651.8,597.7,613.8,654,687.8,728.4,643.3,486.6,496.9,422.2,345.2,372.9,356,378.3,419.8,467,508.3,556.5
2023-09-06,542.4,581.8,610.4,635.5,653.7,651.2,605.4,577.7,594.3,626.3,656.9,689.8,713.9,688.2,642.6,562,445.5,323.3,256.4,285,382.1,425.6,475.1,533.6
2023-09-07,607.3,655.7,689.8,710.2,720.5,702.2,678.6,659.8,682.6,667,702.8,730.7,740.8,738.3,715.5,649.1,547.8,421,357.3,433.8,467.7,505.3,542.7,596.2
2023-09-08,584.5,612.5,632.8,658.9,661.6,652.1,624.1,611.8,641.7,670.8,713.3,744,781.3,768.4,719.8,636.4,535.7,422,360.4,363.8,393.7,435.5,475,510.2
2023-09-09,567.9,609.1,632.6,654.1,659.5,646,628.6,650.2,686.7,700.1,715.7,741.8,753,727.8,684.2,627.6,540.8,439.1,370.6,370.5,404,451.5,492.5,531.5
2023-09-10,580.9,621.3,646.9,665.3,670.4,658.4,648.6,652.5,696.4,705.3,695.4,695.2,674.2,705.3,699.1,650.4,545.7,452.4,388.6,375,401.7,448.8,488.1,528.6
2023-09-11,577,614.2,644.5,658.3,665,650.3,623.4,601.8,523.6,523.5,532.2,550.3,558.5,492.3,507.5,457.5,364.4,297.2,271.2,268.6,304.9,360.9,409,453.7
2023-09-12,511.6,554,582,599.7,605.2,592.8,563.4,538.2,528.9,527.4,491.7,457.8,467.4,414.8,392.1,358.8,328.6,298.2,258.2,254.4,295.1,350,395.9,445.2
2023-09-13,507.1,545.5,578.4,596.6,603.9,588.7,558.8,533.6,491.9,503,502.4,521.3,496.7,515,499.9,387.2,302.5,263.4,236.4,243.7,277.3,331.7,399.2,440.2
2023-09-14,500.4,537.5,572.9,604.2,612.8,596.9,560.1,497.8,435.6,360.2,335.7,356,356.3,402.2,394.7,432.9,386.5,345.7,337.1,341.7,359.5,405.9,432.5,465.8
2023-09-15,522.1,561.3,595.1,614.1,612.2,594.7,555.9,527.4,515.9,523,535.7,576.8,613.1,601.6,542.6,481.4,384.3,282.5,232.3,249.7,280.9,324.2,369,415.1
2023-09-16,469.1,515.3,547.7,568.9,580.2,564.4,554.2,545.1,522.8,490,504.2,577.6,441.8,431.2,460.2,546.2,459.4,356.9,304,311.9,347.2,391.5,429.8,475.2
2023-09-17,510.4,545.4,578.9,599.8,602.1,595.2,577,584.7,519,511.3,519,569,539,579.2,544.4,466,426.3,384,339.7,343.3,372.6,423.4,463.5,492.7
2023-09-18,546.2,580.1,598.5,611.1,615.4,603,572.4,549.6,536.5,518.2,525.7,543.7,570.4,565.8,514.7,483.8,445.6,406.1,388.8,400.3,436.9,476.2,521.9,573.9
2023-09-19,632.2,670.5,702.2,723.6,727.4,712.5,681.6,674.3,689.5,670.4,644.2,674.3,660.8,576.1,497.5,536.4,482.6,387.6,384.5,395.6,431.3,492.2,544.5,579.9
2023-09-20,561,601.1,638.1,643.5,649,639,604.9,558.7,499.2,467.7,510.4,530.1,566.9,526.8,499.1,430.6,422.8,420.5,410.4,427.7,447.4,457.8,500.4,562.5
2023-09-21,629,660.2,742.1,779.2,796.5,780.7,755.3,716.4,726.5,811.5,823,812.8,798.3,706.8,724.5,665.7,589.5,498.4,472,469.5,459.8,490.4,541.7,564.3
2023-09-22,606.2,648.8,662.8,684.8,694.8,693.5,653.3,591.3,548.6,532.2,558.5,602,634.3,515.4,501.1,508.3,479.6,431.6,403.9,406,426.4,454.1,484.2,525.8
2023-09-23,578.7,622.4,652.2,671.7,686.6,691.7,654.2,656.3,734.5,764.8,823.3,814.8,719.3,702.4,720.4,649.8,604.4,561.6,549.8,546.1,566.2,593.3,633.1,647.3
