날짜, 1시 , 2시 , 3시 , 4시 , 5시 , 6시 , 7시 , 8시 , 9시 , 10시 , 11시 , 12시 , 13시 , 14시 , 15시 , 16시 , 17시 , 18시 , 19시 , 20시 , 21시 , 22시 , 23시 , 24시 
2023-09-01,338.4,359.4,385.8,406.1,407.9,391.9,378.6,359.5,331.4,344.4,298.5,306.2,361.4,304.7,301.6,306.3,339.3,343,343.1,352.7,345.4,347.3,312.8,354.2
2023-09-02,337.5,316.5,270.8,293.2,333.6,349.2,350.3,417.8,381,371,434.1,412,432.7,483.3,441.5,397.4,316,276.8,278.1,268.4,300.7,339.2,289.2,326.9
2023-09-03,341.4,308.9,265.6,286.5,299,300.3,297.7,350.8,397.8,398.8,428,381.5,367,354.8,315.4,236.3,200.9,217.4,214.1,286.7,313.5,358.3,410.8,441.3
2023-09-04,356.3,333.7,358.3,376.7,388,375.8,384.4,372.3,357.2,370,386.5,377.2,368.3,345.7,313.4,308.2,270.2,272.8,282.2,285.7,301.5,358.5,296.2,279
2023-09-05,281.7,251.4,256.6,275.7,284,268.5,253.9,271.4,305.1,347.4,410.9,478.8,394.3,237.5,247.9,189.2,144.5,272.9,344.6,378.9,373.5,310.8,288.1,321.3
2023-09-06,302.5,343.7,291.7,291.4,308.5,303.7,257.6,249,331.7,391.6,423.2,458,482,456,410.6,342.3,267.2,244.8,221.3,249.8,301.3,334.6,336.4,311.9
2023-09-07,318.1,264.6,266.7,287,296.5,277.9,271.2,320.4,369.8,356.8,319.1,319.5,330.2,328.5,305.9,246.5,210.3,231,278.7,356.6,389.8,426.7,452.9,372.8
2023-09-08,407.2,346.3,281.5,306.5,309,299.4,288.2,345.7,401.2,432.5,448.6,401.1,448.4,467.4,418,347,293.7,232.9,277.4,285.1,316.2,358.1,331.5,318.7
2023-09-09,296.9,254.5,279.8,299.4,304.7,291.2,281.3,347.8,446.3,461.8,455.7,473.1,486,473.6,447.7,400.5,394.4,357.5,293,293.5,326.3,332.7,317.2,342.8
2023-09-10,337.7,311.3,290.6,309.2,314.1,319.3,367.1,372.9,386.5,359.9,352,352.8,333.8,363.6,388.9,381.6,380.3,342.6,278.4,265.6,290.9,338.1,322.4,345.5
2023-09-11,332.9,323.1,349.5,363.2,368.9,354.1,327.5,322.9,339,342.3,351.2,370.4,378.6,312.5,261.4,210.5,190.8,206.8,189.9,222.8,267.5,322,365.2,376.1
2023-09-12,341.9,320.5,323.6,341.2,345.8,333.3,303.7,308.6,305.4,304.9,270,236.2,245.7,222.5,174.5,211.7,275.2,275.7,259.4,254.9,295.4,350.4,348.5,367.5
2023-09-13,363,313.7,320.1,338.2,345.4,330.1,300.3,305.4,269.2,280.7,281.4,300.1,275.5,293.5,282.1,226.4,241.1,251.4,238.8,245.2,277.7,306.7,283.1,287.9
2023-09-14,265.7,247.5,259.4,290.6,299.2,282.3,289.6,288.4,351.9,282.3,257.3,279.2,279.7,325.3,318.1,356.4,335.2,337.7,337.6,342.2,356.6,336.1,355.1,368.2
2023-09-15,299,321.6,283.3,301.1,299.1,281.3,255.5,309.4,301.4,335.9,282.6,325.2,361.4,349.9,290.9,234.3,263.8,276.3,235.2,251.8,283.1,324.7,369.8,372.6
