일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2023-04-01,2407.2,1957.344,626.04,377.04,5057.765,10425.389
2023-04-02,3150.8,2351.52,263.88,483.72,7039.216,13289.136
2023-04-03,2369.4,2305.504,626.184,391.28,5215.415,10907.783
2023-04-04,312.2,382.432,144.072,95.08,866.342,1800.126
2023-04-05,360.2,294.112,51.768,41.84,556.11,1304.03
2023-04-06,938.6,399.008,229.608,130.32,1844.054,3541.59
2023-04-07,2128.6,1250.688,826.056,398.68,6096.945,10700.969
2023-04-08,3364.2,2520.128,277.776,543.68,7436.955,14142.739
2023-04-09,3208.2,2449.28,250.056,510.52,7151.31,13569.366
2023-04-10,2927.2,2195.328,703.656,448.16,6506.976,12781.32
2023-04-11,2665.2,2160.992,958.176,434.6,6261.824,12480.792
2023-04-12,3333.6,2343.936,361.44,477.32,7238.086,13754.382
2023-04-13,3007,2224.128,499.32,448.4,6694.275,12873.123
2023-04-14,231.4,259.136,32.328,36.88,469.328,1029.072
2023-04-15,1331,1011.968,416.376,271.4,3971.582,7002.326
2023-04-16,2899.8,1999.712,397.656,474.92,6546.748,12318.836
2023-04-17,3056.8,2038.72,687.744,482.88,6717.414,12983.558
2023-04-18,2918.4,2237.44,960.048,437.96,4702.694,11256.542
2023-04-19,1523.4,1172.48,428.4,205.48,3191.296,6521.056
2023-04-20,2890.2,2178.72,654.984,455.4,6536.624,12715.928
2023-04-21,3032,1757.216,548.64,433.4,6690.654,12461.91
2023-04-22,2903.4,2166.688,339.912,465.2,6331.971,12207.171
2023-04-23,1824.8,1422.208,377.928,304.36,4115.49,8044.786
2023-04-24,562,425.28,132.192,103.4,1179.47,2402.342
2023-04-25,320,240.704,33.192,42.2,561.895,1197.991
2023-04-26,3152,2267.136,433.08,514.76,3024.246,9391.222
2023-04-27,3161.6,2391.104,417.096,549.56,2653.99,9173.35
2023-04-28,1911,1369.472,759.024,357.32,4531.308,8928.124
2023-04-29,331.4,278.752,43.056,33.08,796.92,1483.208
2023-04-30,3142.6,2434.976,271.944,536.72,1881.657,8267.897
2023-05-01,3218.4,2412.48,233.208,524.88,1613.366,8002.334
2023-05-02,3116,2309.664,287.064,490.36,2052.321,8255.409
2023-05-03,288,349.248,95.976,61.28,872.13,1666.634
2023-05-04,102.2,137.024,9.864,12.72,203.208,465.016
2023-05-05,104.4,402.752,24.984,10.04,289.264,831.44
2023-05-06,888.2,1586.592,281.016,152.4,2594.691,5502.899
2023-05-07,155.8,158.112,10.656,8.48,303.005,636.053
2023-05-08,2818.6,2106.976,375.552,438.72,2490.556,8230.404
2023-05-09,3219,2385.792,317.88,535.48,2263.483,8721.635
2023-05-10,2999.8,2302.08,349.848,494.52,2326.399,8472.647
2023-05-11,2773,2071.2,404.064,380.4,3195.634,8824.298
2023-05-12,1260.8,879.648,437.76,233.04,2956.993,5768.241
2023-05-13,717.6,670.304,279.936,156.88,1488.98,3313.7
2023-05-14,1989.4,1893.44,646.344,438.6,4061.252,9029.036
2023-05-15,1464.2,1080,409.968,224.72,3137.782,6316.67
2023-05-16,2960,2265.28,736.272,487.36,4876.977,11325.889
2023-05-17,2468.2,1918.464,823.968,399.36,5096.815,10706.807
2023-05-18,712.6,709.216,216.792,143.76,1065.21,2847.578
2023-05-19,1344.8,1345.376,721.944,341.96,4381.614,8135.694
2023-05-20,2484.4,2128.192,718.056,480.68,4315.083,10126.411
2023-05-21,2828,1520.096,435.888,366.72,3410.411,8561.115
2023-05-22,1025.2,701.568,249.696,149.28,2254.083,4379.827
2023-05-23,3159.8,2387.04,664.848,520.84,4445.25,11177.778
2023-05-24,1718.2,1311.36,554.544,276.24,3952.78,7813.124
2023-05-25,2997.4,2385.216,714.24,479,4725.838,11301.694
2023-05-26,2311,1970.912,547.992,338.72,3515.994,8684.618
2023-05-27,410.2,1044.288,362.52,185.4,1687.128,3689.536
2023-05-28,1632.2,1995.2,685.8,319.24,1522.972,6155.412
2023-05-29,1241,1444.8,444.096,196.44,1936.618,5262.954
2023-05-30,501,438.688,112.248,65.76,944.444,2062.14
2023-05-31,1502,1887.168,742.824,345,2884.678,7361.67
2023-06-01,638.6,1071.2,119.376,77.16,1031.224,2937.56
2023-06-02,2645.8,1803.872,933.912,458.2,5814.911,11656.695
2023-06-03,3156.2,2490.816,628.992,532.04,4236.982,11045.03
2023-06-04,2046.4,1808.512,668.088,328.08,4927.598,9778.678
2023-06-05,625.4,457.504,155.016,89.08,1406.543,2733.543
2023-06-06,866,899.04,408.096,214.08,1827.419,4214.635
2023-06-07,2701,2202.72,826.776,399.32,5674.62,11804.436
2023-06-08,868.2,1577.728,515.016,248.48,2228.049,5437.473
2023-06-09,2355.2,2251.136,827.28,408.64,5358.601,11200.857
2023-06-10,2463.8,2277.152,802.008,397.76,4717.16,10657.88
2023-06-11,1585.8,1690.08,773.784,382.28,3757.53,8189.474
2023-06-12,1260.6,1660.704,630.072,304.48,4116.214,7972.07
2023-06-13,1723.2,1355.2,697.68,340.48,4229.75,8346.31
2023-06-14,2181.8,2122.912,790.488,392.4,4879.87,10367.47
2023-06-15,2847,2345.76,935.568,476.44,5166.24,11771.008
2023-06-16,2407.8,2160.928,759.096,456.64,4961.586,10746.05
2023-06-17,2866.8,2301.408,339.408,455.16,2601.2,8563.976
2023-06-18,1561.4,1200.48,516.672,254.92,3419.814,6953.286
2023-06-19,2693.4,2242.048,862.776,431.76,5396.927,11626.911
2023-06-20,341.4,1072.608,99.216,64.12,666.751,2244.095
2023-06-21,1536.8,438.56,269.64,143.2,936.49,3324.69
2023-06-22,2449,2009.632,850.608,418.92,5808.403,11536.563
2023-06-23,2612.4,2342.592,919.872,467.28,6427.428,12769.572
2023-06-24,1615.2,1841.28,642.672,313.08,3486.345,7898.577
2023-06-25,264.8,293.792,24.84,26.72,289.264,899.416
2023-06-26,484,1440.416,547.128,262.04,708.694,3442.278
2023-06-27,905.4,926.88,240.696,129.44,992.174,3194.59
2023-06-28,1927.4,2105.92,698.688,331,5272.545,10335.553
2023-06-29,1719.2,1704.864,591.12,281.84,1542.494,5839.518
2023-06-30,366,346.016,55.8,33,522.119,1322.935
