일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2023-07-01,2554.56,581.94,10569.6,9.36,13782.485,27497.945
2023-07-02,3399.84,793.08,17625.6,1760.4,13060.232,36639.152
2023-07-03,5332.32,569.88,8496,937.8,2510.578,17846.578
2023-07-04,1316.16,1425.96,47635.2,5248.08,16646.432,72271.832
2023-07-05,40501.44,4727.34,110851.2,3123.54,33419.863,192623.383
2023-07-06,7748.64,270.72,7430.4,2164.68,3594.394,21208.834
2023-07-07,26717.76,875.34,35510.4,4136.58,17584.067,84824.147
2023-07-08,37584,492.12,15552,5320.44,11503.127,70451.687
2023-07-09,42379.2,322.92,4867.2,5168.88,7112.757,59850.957
2023-07-10,83674.08,2292.84,54892.8,7276.5,32757.741,180893.961
2023-07-11,136896.48,1637.82,31075.2,9960.12,35456.93,215026.55
2023-07-12,148158.72,1163.16,41299.2,7091.64,20347.979,218060.699
2023-07-13,151112.16,2924.28,119779.2,9587.88,40280.615,323684.135
2023-07-14,174006.72,3007.62,333878.4,14169.42,109214.431,634276.591
2023-07-15,142282.08,4056.3,186681.6,13111.92,83521.317,429653.217
2023-07-16,148740.48,1236.42,66988.8,9707.22,20068.237,246741.157
2023-07-17,87693.12,1011.24,84499.2,7584.66,6880.18,187668.4
2023-07-18,140162.4,2893.5,162604.8,10629.72,22039.758,338330.178
2023-07-19,32641.92,2741.22,74505.6,6069.24,32328.774,148286.754
2023-07-20,790.56,95.76,604.8,67.32,756.919,2315.359
2023-07-21,4694.4,1027.44,55296,5864.22,36769.408,103651.468
2023-07-22,149299.2,2367.9,190857.6,12376.98,67615.078,422516.758
2023-07-23,143527.68,2957.4,194428.8,8317.62,69736.4,418967.9
2023-07-24,88627.68,876.42,50889.6,4644.72,39203.277,184241.697
2023-07-25,11291.04,1345.5,80726.4,5088.78,29607.456,128059.176
2023-07-26,25708.32,790.92,70041.6,5119.56,35148.382,136808.782
2023-07-27,34200,1164.06,89798.4,7963.74,54195.268,187321.468
2023-07-28,31754.88,1096.02,95702.4,3924.54,34662.016,167139.856
2023-07-29,21028.32,879.3,71654.4,6582.6,21339.598,121484.218
2023-07-30,17117.28,1020.78,65865.6,4462.56,16249.497,104715.717
2023-07-31,2570.4,209.16,31622.4,1130.4,1346.228,36878.588
2023-08-01,3607.2,363.6,29260.8,1539.9,10030.154,44801.654
2023-08-02,4524.48,563.4,31017.6,1375.56,7847.12,45328.16
2023-08-03,17036.64,1608.66,79056,4750.56,34615.463,137067.323
2023-08-04,21247.2,1739.34,84038.4,4290.66,41670.423,152986.023
2023-08-05,22037.76,202.5,16387.2,5121,12592.823,56341.283
2023-08-06,63848.16,319.5,17769.6,8484.12,11603.911,102025.291
2023-08-07,49217.76,1208.88,36057.6,5851.26,27963.388,120298.888
2023-08-08,113947.2,2789.46,125395.2,10065.78,83145.845,335343.485
2023-08-09,192761.28,362.52,394272,9651.06,127620.172,724667.032
2023-08-10,108077.76,2161.26,382435.2,2262.06,112566.001,607502.281
2023-08-11,16392.96,553.68,33753.6,1162.8,10270.52,62133.56
2023-08-12,3922.56,152.1,13161.6,100.62,4114.717,21451.597
2023-08-13,31.68,533.88,8812.8,658.8,5262.788,15299.948
2023-08-14,4697.28,776.34,28771.2,131.4,11864.352,46240.572
2023-08-15,3215.52,203.58,4176,720.18,5457.359,13772.639
2023-08-16,10512,229.32,5126.4,897.3,2983.334,19748.354
2023-08-17,11952,251.1,4147.2,436.68,5625.102,22412.082
2023-08-18,11808,715.32,24940.8,1990.8,25272.136,64727.056
2023-08-19,506.88,294.84,2188.8,31.32,6617.981,9639.821
2023-08-20,2141.28,418.32,10540.8,176.58,10763.477,24040.457
2023-08-21,25555.68,2372.94,143827.2,2097.18,57504.338,231357.338
2023-08-22,58862.88,2439.9,195897.6,3080.7,63096.764,323377.844
2023-08-23,75270.24,1193.94,47088,3229.02,77538.289,204319.489
2023-08-24,18233.28,1575,48758.4,775.62,41131.08,110473.38
2023-08-25,5988.96,388.26,17539.2,61.02,16967.065,40944.505
2023-08-26,18061.92,165.42,4665.6,343.98,4741.81,27978.73
2023-08-27,1064.16,1215.18,29145.6,302.22,37193.63,68920.79
2023-08-28,114628.32,3664.8,192844.8,2784.42,111072.152,424994.492
2023-08-29,56531.52,1339.02,54374.4,1022.04,49465.765,162732.745
2023-08-30,43414.56,898.2,17395.2,4015.62,22839.359,88562.939
2023-08-31,98101.44,659.52,11635.2,7167.24,24070.693,141634.093
2023-09-01,38204.64,543.06,21456,5660.82,23136.631,89001.151
2023-09-02,24340.32,1045.26,72518.4,6168.78,38394.115,142466.875
2023-09-03,9457.92,1272.78,60912,3236.22,22996.841,97875.761
2023-09-04,11717.28,427.68,28310.4,3536.64,10462.274,54454.274
2023-09-05,22256.64,477.54,16905.6,4163.76,11896.529,55700.069
2023-09-06,29766.24,256.68,6710.4,1180.8,6206.113,44120.233
2023-09-07,30270.24,1522.98,35740.8,970.56,50395.701,118900.281
2023-09-08,20227.68,1442.16,39484.8,3749.94,48300.718,113205.298
2023-09-09,2787.84,115.2,1987.2,644.4,492.856,6027.496
2023-09-10,1265.76,48.78,7516.8,817.2,6619.923,16268.463
2023-09-11,1393.92,102.42,432,1285.38,1260.56,4474.28
2023-09-12,334.08,34.56,5270.4,460.8,2765.444,8865.284
2023-09-13,3870.72,57.24,40147.2,1701.54,23895.551,69672.251
2023-09-14,30621.6,1.08,16502.4,2611.08,7907.187,57643.347
2023-09-15,13212,70.02,18979.2,1323,2738.042,36322.262
2023-09-16,24114.24,17.64,25200,2916.36,13723.824,65972.064
2023-09-17,7037.28,28.44,36835.2,747,13184.843,57832.763
2023-09-18,3900.96,84.24,5299.2,390.42,753.019,10427.839
2023-09-19,1481.76,80.64,3542.4,179.1,2397.751,7681.651
2023-09-20,88649.28,7.92,145612.8,11198.34,54720.59,300188.93
2023-09-21,131938.56,3735.72,328694.4,13063.14,134520.497,611952.317
2023-09-22,61073.28,192.6,1785.6,3718.26,19121.437,85891.177
2023-09-23,47344.32,3260.34,145641.6,8404.56,113400.351,318051.171
2023-09-24,87559.2,4093.74,339350.4,4367.16,204255.914,639626.414
2023-09-25,7871.04,1335.78,86284.8,803.16,107273.207,203567.987
2023-09-26,15186.24,804.78,26870.4,744.12,22371.688,65977.228
2023-09-27,22295.52,1447.56,50313.6,1245.42,54827.755,130129.855
2023-09-28,44182.08,1492.92,44956.8,3677.22,47010.787,141319.807
2023-09-29,42009.12,657.9,10972.8,2611.44,20631.528,76882.788
