�Ͻ�,���ø�ǳ��,���ǳ��,����ǳ��,��âǳ��,���ǳ��,ǳ����ü
2024-01-01,28095.80,790.56,21542.4,3329.82,7306.8,61065.40
2024-01-02,34018.60,381.06,2822.4,1528.56,5544.004,44294.60
2024-01-03,120041.30,5867.82,355478.4,17782.02,77631.6,576801.10
2024-01-04,20167.20,2197.26,66412.8,2639.16,20049.6,111466.00
2024-01-05,22671.40,1224.9,57168,4688.64,9935.999,95688.90
2024-01-06,76793.80,4659.12,120009.6,13464.54,43525.2,258452.20
2024-01-07,80468.60,6441.48,482198.4,21675.6,105334.8,696118.90
2024-01-08,38567.50,1292.22,32976,4307.22,18030,95173.00
2024-01-09,19026.70,990.36,25200,4116.96,8037.601,57371.60
2024-01-10,197648.60,10828.26,334454.4,10789.2,63367.2,617087.70
2024-01-11,78858.70,6094.08,177436.8,2765.16,39602.4,304757.20
2024-01-12,62972.60,5076.72,126835.2,5235.48,40176,240296.00
2024-01-13,102997.40,1634.4,34560,11043.36,23240.4,173475.60
2024-01-14,79561.40,4722.84,140284.8,12113.1,35544,272226.20
2024-01-15,182011.70,11662.74,344966.4,20249.82,84864,643754.70
2024-01-16,101397.60,1627.74,41904,8290.08,17802,171021.40
2024-01-17,62948.20,1145.34,44294.4,8030.88,13394.4,129813.20
2024-01-18,16204.30,1287,18057.6,6445.08,16203.6,58197.60
2024-01-19,76311.40,1375.56,434707.2,1811.16,82270.8,596476.10
2024-01-20,99806.40,0,451497.6,3366.72,78606,633276.70
2024-01-21,136817.30,4571.28,162547.2,18096.12,43369.2,365401.10
2024-01-22,161146.10,207.36,604771.2,13523.04,58954.8,838602.50
2024-01-23,155917.40,15.3,597340.8,13453.02,27750,794476.50
2024-01-24,130472.60,6.12,614044.8,23308.56,35535.6,803367.70
2024-01-25,129805.90,7703.28,402192,21314.88,80692.8,641708.90
2024-01-26,81089.30,8408.16,238262.4,15398.1,77856,421013.90
2024-01-27,89906.40,4897.62,129254.4,8330.22,55806,288194.60
2024-01-28,95688.00,9129.24,280598.4,13544.1,73429.2,472388.90
2024-01-29,55202.40,1078.02,24595.2,1137.6,13434,95447.20
2024-01-30,1016.60,653.04,27072,1678.86,12774,43194.50
2024-01-31,622.10,1086.66,28166.4,336.78,13314,43525.90
2024-02-01,49161.60,3323.34,72576,15157.08,40485.6,180703.60
2024-02-02,25797.60,3754.62,74851.2,11090.16,31370.4,146864.00
2024-02-03,26959.70,8244.18,129772.8,1690.38,52939.2,219606.20
2024-02-04,51969.60,9003.96,200764.8,3433.86,50328,315500.20
2024-02-05,100692.00,6350.58,211680,12728.52,52491.6,383942.70
2024-02-06,190980.00,5087.34,107510.4,16633.62,41104.8,361316.20
2024-02-07,126845.30,5971.14,173664,20845.26,46957.2,374282.90
2024-02-08,171046.10,4942.08,144028.8,14469.48,39886.8,374373.30
2024-02-09,93935.50,9262.62,258912,15644.7,57735.6,435490.40
2024-02-10,14467.70,4306.86,118051.2,7808.94,28188,172822.70
2024-02-11,52253.30,5628.96,340963.2,15961.32,48541.2,463348.00
2024-02-12,22453.90,1659.24,39168,3940.74,9028.8,76250.70
2024-02-13,73915.20,1562.04,69811.2,14639.22,13352.4,173280.10
2024-02-14,19872.00,3936.6,204220.8,10056.06,23577.6,261663.10
2024-02-15,101682.70,2131.02,293500.8,13324.86,7759.02,418398.40
2024-02-16,74101.00,1216.26,36950.4,2103.3,8148,122518.90
2024-02-17,8271.40,1398.42,60710.4,1769.58,10186.8,82336.60
2024-02-18,95266.10,3549.6,300672,4782.06,32604,436873.70
2024-02-19,122613.10,2385.36,222595.2,4278.06,32776.8,384648.50
2024-02-20,59572.80,6303.24,161164.8,1657.62,34308,263006.50
2024-02-21,41320.80,8841.6,305481.6,521.46,55892.4,412057.90
2024-02-22,83155.70,8048.7,394099.2,14988.6,59176.8,559469.00
2024-02-23,46784.20,7746.12,193276.8,13366.98,49627.37,310801.40
2024-02-24,41558.40,8789.22,243388.8,2022.12,56272.93,352031.50
2024-02-25,111473.30,6447.24,180115.2,15985.8,34920.21,348941.80
2024-02-26,67419.40,1236.78,47376,13494.78,10719.69,140246.60
2024-02-27,51324.50,9394.92,194140.8,1616.04,30036.17,286512.40
2024-02-28,41820.50,7828.38,143654.4,1913.4,27610.72,222827.40
2024-02-29,126374.40,7950.24,230342.4,8901.54,33918.14,407486.70
2024-03-01,128158.60,2534.22,564105.6,1080.36,60648,756526.80
2024-03-02,48903.80,1397.34,156211.2,2894.58,26598,236005.00
2024-03-03,12649.00,3039.84,113731.2,4256.46,17654.4,151330.90
2024-03-04,17953.90,1916.64,100512,2377.62,21544.44,144304.60
2024-03-05,85802.40,10361.7,323136,7309.98,75985.64,502595.70
2024-03-06,57546.70,4285.98,115315.2,9220.86,36598.69,222967.50
2024-03-07,223413.10,7693.2,200880,17396.64,60524.4,509907.30
2024-03-08,174715.20,10797.12,357091.2,18956.88,76388.4,637948.80
2024-03-09,132698.90,6453.54,206236.8,14206.14,51958.8,411554.20
2024-03-10,46386.70,979.92,16358.4,6411.06,9588,79724.10
2024-03-11,31657.00,480.24,22752,4756.5,5991.421,65637.10
2024-03-12,83862.70,6043.68,224121.6,13306.5,46995.49,374330.00
2024-03-13,94871.50,4125.42,113990.4,5490.72,38189.12,256667.20
2024-03-14,36728.60,438.12,17280,138.06,3153.761,57738.60
2024-03-15,7598.90,305.1,950.4,252.54,1770.326,10877.20
2024-03-16,13322.90,570.6,6537.6,2481.84,5427.412,28340.30
2024-03-17,130537.40,7217.82,201657.6,13216.86,55883.62,408513.30
2024-03-18,72446.40,1985.4,62553.6,1963.8,17153.19,156102.40
2024-03-19,88240.30,5402.16,259401.6,9877.32,48352.22,411273.60
2024-03-20,142562.90,7218.18,404928,6772.86,91376.56,652858.50
2024-03-21,30541.00,2847.6,80582.4,3399.12,25804.31,143174.40
2024-03-22,114989.80,5036.22,275731.2,7724.34,31938.55,435420.10
2024-03-23,39899.50,1066.14,37267.2,1805.04,9406.389,89444.30
2024-03-24,22481.30,8734.86,195408,138.78,60493.06,287256.00
2024-03-25,35689.00,8361.9,228124.8,634.86,48963.85,321774.40
2024-03-26,94812.50,4902.66,187200,5207.22,49540.76,341663.10
2024-03-27,6300.00,1051.38,50227.2,1610.64,11490.05,70679.30
2024-03-28,154009.40,6427.26,230918.4,5010.3,46026.77,442392.10
2024-03-29,61344.00,5463.9,141638.4,4235.76,30807.99,243490.10
2024-03-30,22477.00,2023.2,47750.4,2355.66,17389.75,91996.00
